순번,과목코드,과목명,구분,구분2,학점,성적부여,담당교수,수업시간,장바구니,수강정원,수강인원
10001,931001,4차 산업혁명과 융합기술,확대교양,미래융복합,3,Grade,이응석,"금01 ,02 ,03 [E8-7-141(50-141)]",20,60,48
10002,923011,4차산업/직업과 인체 뇌 기능의 생활 응용 융합 강좌,일반교양,자연과과학,3,Grade,"김영철, 김진하, 김찬형, 최웅","화02 ,03 ,04 [N14-104(56-104)]",33,100,58
10003,921047,갈등사회와 시민,일반교양,인간과문화,3,Grade,"김남준, 김민재, 조일수","목02 ,03 ,04 [E1-2-331(81-331)]",18,60,58
10004,922026,결혼과가족,일반교양,사회와역사,3,Grade,김영희,"화02 ,03 ,04 [N20-1-115(62-115)]",38,100,96
10005,922026,결혼과가족,일반교양,사회와역사,3,Grade,김대광,"화06 ,07 ,08 [N20-1-115(62-115)]",17,100,28
10006,922026,결혼과가족,일반교양,사회와역사,3,Grade,정혜숙,"수02 ,03 ,04 [N16-1-127(58-127)]",21,100,78
10007,922026,결혼과가족,일반교양,사회와역사,3,Grade,박은주,"월02 ,03 ,04 [E8-2-101(45-101)]",38,100,92
10008,922026,결혼과가족,일반교양,사회와역사,3,Grade,이민희,"목02 ,03 ,04 [E8-2-101(45-101)]",20,100,30
10009,3810466,결혼과가족,일반교양,사회와역사,3,Grade,OCU,,0,100,80
10010,922018,공업경영과경제,일반교양,사회와역사,3,Grade,권혁조,"목07 ,08 ,09 [N14-204(56-204)]",31,80,37
10011,922019,공업법규와창업,일반교양,사회와역사,3,Grade,강봉희,"목01 ,02 ,03 [N14-108(56-108)]",13,80,11
10012,923021,공학윤리와 역사,일반교양,자연과과학,3,Grade,연성호,"화01 ,02 ,03 [N14-204(56-204)]",96,80,79
10013,922011,교양 한국미술사,일반교양,사회와역사,3,Grade,이종민,"목02 ,03 ,04 [N16-1-125(58-125)]",29,80,61
10014,934007,교양체육,확대교양,예술과체육,2,Grade,미지정,"금07 ,08 ,09 [E1-2-231(81-231)]",4,20,4
10015,934007,교양체육,확대교양,예술과체육,2,Grade,엄석주,"월02 ,03 ,04 [N13-502(59-502)]",3,20,3
10016,932027,국제개발협력의 이해,확대교양,국제화,3,Grade,송양훈,월13  화13  수13 [가상강의실2],19,50,35
10017,922043,근현대의 역사와 인물,일반교양,사회와역사,3,Grade,이성우,"목01 ,02 ,03 [N16-1-127(58-127)]",88,100,99
10018,932012,글로벌 문화와 지역학,확대교양,국제화,3,Grade,임재일,"수06 ,07 ,08 [N16-1-226(58-226)]",83,50,50
10019,932012,글로벌 문화와 지역학,확대교양,국제화,3,Grade,박미령,"목06 ,07 ,08 [N16-1-226(58-226)]",40,50,46
10020,932013,글로벌 음식문화와 생활문화,확대교양,국제화,3,Grade,이상오,"수06 ,07 ,08 [S1-2-104(41-104)]",85,80,77
10021,932013,글로벌 음식문화와 생활문화,확대교양,국제화,3,Grade,구교현,"월05 ,06 ,07 [N14-104(56-104)]",86,100,83
10022,932014,기초일본어,확대교양,국제화,2,Grade,권동현,"화01 ,02 [N14-202(56-202)]",40,65,60
10023,932014,기초일본어,확대교양,국제화,2,Grade,이주용,"월01 ,02 [N14-102(56-102)]",12,72,24
10024,932014,기초일본어,확대교양,국제화,2,Grade,윤혜민,"화06 ,07 [N16-1-226(58-226)]",27,50,35
10025,923014,나무문화그리고환경,일반교양,자연과과학,3,Grade,한규성,"금01 ,02 ,03 [S20-101]",20,100,103
10026,923014,나무문화그리고환경,일반교양,자연과과학,3,Grade,이화용,"월06 ,07 ,08 [S21-4-146(92-146)]",56,100,96
10027,921026,논리와 비판적 사고,일반교양,인간과문화,3,Grade,박현숙,"목02 ,03 ,04 [N16-1-329(58-329)]",14,80,15
10028,934009,농구의이론과실기,확대교양,예술과체육,2,Grade,임용석,"화01 ,02 ,03 [N13-404(59-404)]",12,20,15
10029,921033,다문화와 세계종교 기행,일반교양,인간과문화,3,Grade,정세근,"토00 ,01 ,02 [가상강의실1]",59,50,52
10030,921025,대중문화와 예술의 이해,일반교양,인간과문화,3,Grade,윤석빈,"금02 ,03 ,04 [N16-1-123(58-123)]",32,80,76
10031,923004,도시와건축,일반교양,자연과과학,3,Grade,박상희,"목05 ,06 ,07 [E8-2-101(45-101)]",26,90,84
10032,921005,독일과독일사람,일반교양,인간과문화,3,Grade,박현정,"수06 ,07 ,08 [N16-1-123(58-123)]",40,80,78
10033,932003,독일어I,확대교양,국제화,3,Grade,최도규,"월03 ,04  화03 [N16-1-259(58-259)]",12,40,39
10034,932003,독일어I,확대교양,국제화,3,Grade,정수정,"수02 ,03 ,04 [N16-1-225(58-225)]",45,40,39
10035,921010,독일예술문화산책,일반교양,인간과문화,3,Grade,문광훈,"수07 ,08 ,09 [N16-1-125(58-125)]",20,80,22
10036,921036,동양 고전 이야기,일반교양,인간과문화,3,Grade,서대원,"월07 ,08 ,09 [N14-102(56-102)]",12,72,14
10037,922003,동양문화사,일반교양,사회와역사,3,Grade,임병덕,"화06 ,07 ,08 [N16-1-127(58-127)]",39,100,57
10038,922003,동양문화사,일반교양,사회와역사,3,Grade,유채원,"금04 ,05 ,06 [N14-204(56-204)]",46,100,79
10039,932028,러시아 도시문화사,확대교양,국제화,3,Grade,김태옥,"화02 ,03 ,04 [N14-102(56-102)]",6,72,28
10040,921007,러시아문학과예술의산책,일반교양,인간과문화,3,Grade,김원한,"화02 ,03 ,04 [N16-1-329(58-329)]",31,80,44
10041,932007,러시아어I,확대교양,국제화,3,Grade,김문황,"월01 ,02  목01 [N16-1-225(58-225)]",17,40,41
10042,921016,만화 인문학,일반교양,인간과문화,3,Grade,백용식,"월08  화08 ,09 [N16-1-226(58-226)]",63,50,47
10043,922044,멘토링교육봉사의 이론과 실제,일반교양,사회와역사,3,Grade,"김복미, 김영진, 이종연, 황정희","수05 ,06 ,07 ,08 ,09 [N18-110]",4,80,17
10044,921037,문화로 보는 생활사,일반교양,인간과문화,3,Grade,조혁연,"목05 ,06 ,07 [S21-4-146(92-146)]",150,80,121
