순번,과목명,담당교수,성적부여,평점,과제,조모임,학점 비율,출결,시험 횟수,추천수,리뷰
10001,4차 산업혁명과 융합기술,이응석,Grade,,,,,,,,
10002,4차산업/직업과 인체 뇌 기능의 생활 응용 융합 강좌,"김영철, 김진하, 김찬형, 최웅",Grade,,,,,,,,
10003,갈등사회와 시민,"김남준, 김민재, 조일수",Grade,4.4,보통,없음,학점느님,전자출결,한 번,0,"고등학교 때 윤리와 사상이나 생활과 윤리 재밌게 들었다면 수업에 흥미를 느끼실 수 있어요! 과제는 김민재 교수님 출석과제랑 기말글 있었고 시험은 공부한 만큼, 수업 열심히 정리한 만큼 풀 수 있도록 문제 내주셨어요~"
10003,갈등사회와 시민,"김남준, 김민재, 조일수",Grade,4.4,보통,없음,학점느님,전자출결,한 번,0,처음 겪어보는 팀티칭 수업이었는데 나름 신선하고 나쁘지 않은 것 같아요. 배울 점은 솔직히 사람마다 다를 것 같네요. 평소에 독서 많이 하는 사람은 이미 다 아는 내용일수도..?
10003,갈등사회와 시민,"김남준, 김민재, 조일수",Grade,4.4,보통,없음,학점느님,전자출결,한 번,2,"사실 내용도 별로 재미 없었고 시험도 무슨 기준으로 채점되는지 모르겠고, 내 점수도 무슨 기준으로 채점된건지 모르겠음. 비율 채워주는 것 같지도 않고(내가 못한건가) 교수님들은 좋은데 수업내용이랑 시험이 별로였어요. 전 시험이 너무 짜증나서 다시는 듣기 싫지만 윤리, 사회 좋아하시면 듣는 것도 나쁘진 않을 것 같아요."
10003,갈등사회와 시민,"김남준, 김민재, 조일수",Grade,4.4,보통,없음,학점느님,전자출결,한 번,1,사회학 관심있으면 무조건.... 제발 무조건 들어줘요.... 세 교수님 모두 강의력도 좋으셨어요.
10003,갈등사회와 시민,"김남준, 김민재, 조일수",Grade,4.4,보통,없음,학점느님,전자출결,한 번,2,"첫 개설 강의라 솔직히 걱정 많이 했는데, 결과적으로 듣길 잘했다는 생각이 든 강의였습니다. 3분 교수님 다 너무 좋으세요. 김민재 교수님이 주교수님이셨는데 정말 꼼꼼하게 시험이나 수업 관련 정보를 알려주십니다. 학생들 배려하시는 모습이 너무 잘 보였어요. 강의력은 다 좋으세요! 전 특히 김남준 교수님 수업이 너무 좋았어요! 90분 조금 넘는 수업인데 예시나 설명이 너무 좋아서 지루하지 않게 잘 들었습니다. 세 분 교수님 다 강의에 열정적인게 보였어요. 과제는 김민재 교수님만 내주셨는데 어렵지 않고, 자기 생각 쓰는거라 부담이 거의 없었어요. 시험은 오픈북으로 다소 신기한 방법으로 봤는데, 설명을 워낙 잘 해주시고 공지를 많이 해주셔서 무난하게 잘 치뤘습니다. 시험 문제 난이도도 괜찮았어요. 기말과제로는 레포트 쓰기 한 개가 있는데, 첫주에 이미 내용이나 형식을 다 공개하셨기 때문에 미리미리 하시면 전혀 부담될거 없으실 겁니다. 얻은 것도 많고, 특히 교양인으로서 한 걸음 나아간 유익한 시간이었어요! 관심 있으신 분들은 꼭 듣는거 추천합니다!"
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,수업 자체는 나쁘지 않았어요 좋은 말씀 많이 해주시고 교수님 경험했던 이야기 듣는 것도 전 좋았습니다 근데 매주 과제가 있긴했어요 화요일 수업이면 오후 5시까지 영상으로 올라온 수업을 꼭 듣고 오후 11시 59분까지 과제를 제출해야 했어요 간단한 물음에 내 생각을 쓰는 거였는데 다른 분들은 얼마나 적으셨는지 모르겠지만 저는 한페이지 정도 작성했습니다. 이 과제는 말 그대로 자신의 생각을 적는 것이지 옳은 말을 굳이 적을 필요 없다고 하셨습니다. (아마 이 과제는 출석을 위한 것인 것 같네요. 수업을 얼마나 잘 들었는지를 보시는 것 같습니다.)
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,"처음 강의평을 보면 다른 이야기도 많고 시험 범위도 많다고 해서 걱정 됐지만 전부 도움이 되는 부분들이고 자신이 얼마나 공부를 했냐에 갈리는 것 같아요, 정말 유익한 강의입니다!"
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,"김영희 교수님의 결혼과 가족이 인생강의라는 말이 왜 있는지, 다들 추천해주는 이유를 알것 같습니다! 정말 말그대로 삶의 지혜를 얻을 수 있는, 나 자신에 대해 깨닫게 되는 시간이었어요. 다른 후기처럼 무언가를 배우고 지식적인 것을 얻으시려는 분은 다른 강의 들으세요. 이 강의의 핵심은 '과거의 나는 무엇을 경험하고 받아들였는가?', '현재 나는 어떤 사람인가?', '미래에 나는 어떤 사람이 되고 싶은가?' 에 대해 차근차근 생각해보는 기회를 가지면서 더 나아가 좋은 배우자를 선택할 수 있게 도와주는 인생 꿀강의 입니다. 내적으로 성장하고 싶으신분들 자존감 올리고 싶으신 분들 진짜 강추. 시험도 책에서 내시기 때문에 책 잘 읽으면 어렵지 않습니다!"
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,2,강의내용이 아무것도 없는듯....시험은 쉬운데 맨날 티엠아 심하시고...
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,"교수님 개인 썰 푸시는게 꽤 길었어요 비대면 수업이고 피피티나 시험은 거의 책에서 나와서 그런지 집중이 잘 안 된다는 단점은 있었지만, 해주시는 썰들이 다 좋은 이야기들이어서 유익하게 수업을 듣긴 했습니다"
